name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"comp_size"
"ZLIB/1",5,68919.8,68614.3,ms,,,,,,2.00008e+09
"ZLIB/6",5,67837,67546.5,ms,,,,,,1.92531e+09
"ZLIB/9",5,67848.5,67580.3,ms,,,,,,1.91013e+09
"LZMA/1",5,275703,274948,ms,,,,,,9.90312e+08
"LZMA/6",5,294413,293548,ms,,,,,,9.44481e+08
"LZMA/9",5,287098,286271,ms,,,,,,9.44482e+08
"LZ4/1",5,56623.6,55822.8,ms,,,,,,2.69809e+09
"LZ4/6",5,55846.7,55459.7,ms,,,,,,2.55962e+09
"LZ4/9",5,54876,54519.2,ms,,,,,,2.54672e+09
"ZSTD/1",5,65929.2,65611.7,ms,,,,,,2.02596e+09
"ZSTD/6",5,62398.6,62134.8,ms,,,,,,1.97759e+09
"ZSTD/9",5,73185.2,72943.3,ms,,,,,,1.21777e+09
"LZ4BS/1",5,63177.9,62509.5,ms,,,,,,2.61359e+09
"LZ4BS/6",5,62456.3,62012.5,ms,,,,,,2.48936e+09
"LZ4BS/9",5,59880.2,59487.5,ms,,,,,,2.4797e+09
