name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"comp_size"
"ZLIB/1",5,3704.01,3691.68,ms,,,,,,1.10145e+08
"ZLIB/6",5,3678.4,3668.56,ms,,,,,,1.06185e+08
"ZLIB/9",5,3823.66,3813.11,ms,,,,,,1.0599e+08
"LZMA/1",5,4031.42,4020.17,ms,,,,,,1.10082e+08
"LZMA/6",5,18639,18589.7,ms,,,,,,9.13382e+07
"LZMA/9",5,18075.8,18028.7,ms,,,,,,9.13382e+07
"LZ4/1",5,3802.13,3791.38,ms,,,,,,1.10172e+08
"LZ4/6",5,2860.12,2851.87,ms,,,,,,1.34265e+08
"LZ4/9",5,2894.75,2886.76,ms,,,,,,1.33654e+08
"ZSTD/1",5,3881.14,3870.36,ms,,,,,,1.10104e+08
"ZSTD/6",5,3254.21,3244.84,ms,,,,,,1.04867e+08
"ZSTD/9",5,3287.03,3278.18,ms,,,,,,1.00329e+08
"LZ4BS/1",5,3888.99,3877.89,ms,,,,,,1.10173e+08
"LZ4BS/6",5,2953.83,2945.42,ms,,,,,,1.24892e+08
"LZ4BS/9",5,2960.84,2952.38,ms,,,,,,1.24451e+08
