name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"comp_size"
"ZLIB/1",5,74828.7,73706.1,ms,,,,,,3.46914e+09
"ZLIB/6",5,69082.4,66600.7,ms,,,,,,3.70319e+09
"ZLIB/9",5,75675.3,72935.6,ms,,,,,,3.68144e+09
"LZMA/1",5,77862.9,77163.7,ms,,,,,,3.4691e+09
"LZMA/6",5,574799,568559,ms,,,,,,2.71874e+09
"LZMA/9",5,593151,577198,ms,,,,,,2.71874e+09
"LZ4/1",5,79122.9,77971,ms,,,,,,3.46916e+09
"LZ4/6",5,52160.5,49052,ms,,,,,,4.69773e+09
"LZ4/9",5,59579.7,56205.7,ms,,,,,,4.6645e+09
"ZSTD/1",5,90331.9,89544,ms,,,,,,3.46912e+09
"ZSTD/6",5,70073.6,67170.4,ms,,,,,,3.75435e+09
"ZSTD/9",5,66720.5,66098.5,ms,,,,,,3.1889e+09
"LZ4BS/1",5,74269.3,73575.7,ms,,,,,,3.46916e+09
"LZ4BS/6",5,50085.3,47578.9,ms,,,,,,3.65463e+09
"LZ4BS/9",5,51514.7,49020.8,ms,,,,,,3.64901e+09
